VZZLSU90B07M208T,66,2012-04-19
BRCPLN89A12A645R,67,2009-04-16
MRZVNS78M19L042V,68,2014-01-11
VRNRBT30S65B828G,69,2016-05-21
BJRPPZ01L61I592D,70,2016-07-21
NCLGBL95M10H558D,71,2011-12-11
LCCGNR05M41G007C,72,2016-01-30
MRZPRR90D62I423H,73,2017-11-22
GRGLNI45R18F482Z,74,2024-04-03
ZCCDNN25C15A419W,75,2017-07-01
PZZMRS04B28L335T,76,2010-07-16
PZZCSN41D44E473F,77,2011-03-06
MCHTNN29C63G110Z,78,2009-10-23
GHUGCM45B45C306M,79,2010-04-24
MCHJLD51S10I704L,80,2010-01-19
ZNZVLR87P26E662V,81,2019-08-16
VSCTNN33H62M209F,82,2024-01-02
PDVLNI19A28C553J,83,2019-08-26
SSMMRN46B05F473H,84,2022-04-01
BLLGLN68H49A584D,85,2013-02-06
SLNSNR28C29D469W,86,2019-04-19
GBLRSR32A27G195T,87,2009-09-24
GRBLMR94S42C076T,88,2019-03-30
NTNLVI54A26A902T,89,2018-03-28
MNTSNO24L06I901Y,90,2014-06-09
MEOGLN66A27D038T,91,2016-05-01
GLTPRN71R60G096K,92,2013-03-16
GRZMBT19T41L773Z,93,2016-01-31
VLRNTL93T20L049P,94,2019-12-06
GNSPRL54C53E001J,95,2015-02-22
BRCDRN64M62F849N,96,2019-02-26
MNCGSR89S56D068E,97,2011-06-04
DLLSMT84R09H778X,98,2018-06-13
GBBMRC58M61F078L,99,2017-03-10
CSTBNC59R24G859W,100,2016-07-19
MNGNNS23T30B681R,101,2014-02-15
NCCPRN09D01C648Q,102,2024-01-09
CMCLLR08B16L535P,103,2024-12-16
GRSGSP64L13L416O,104,2011-11-09
PLCSRN16M29A746L,105,2009-12-11
FRNTTE26H26A987W,106,2018-03-07
CVLFDC43T02L050P,107,2017-07-22
RNSSRN57A10D105H,108,2017-03-17
DNZLND53M16I199J,109,2009-06-23
CMCSNO46D06C614I,110,2010-04-05
FSNLSE61P28B790Q,111,2023-10-10
LDBGBL53D41L889G,112,2014-07-09
BDNGRG72H62A424G,113,2010-06-13
SBLVLR57L10C582J,114,2019-12-17
LZUPLA45S30F118P,115,2006-08-22
LMGPLN44R11L961T,116,2013-05-21
FSNPRN67R27A058F,117,2024-02-29
MNTGSR49B63H258R,118,2018-12-04
GRNBRR25P51I242O,119,2016-01-01
CRFRTR05E46D611G,120,2022-01-04
GLDRFL70P64F777Z,121,2012-01-02
JVNGVN70A59A571Z,122,2009-10-05
CRCNTN64C58L555B,123,2015-05-03
TRCLSS87L16B934B,124,2023-02-01
MDRLND07T23L470S,125,2008-12-11
GMMCNT57D11A360Y,126,2018-02-21
CSNMLS57R30E370Y,127,2007-06-04
GLZSTN18S28B527M,128,2008-02-23
MNDDNI52M49G976U,129,2018-05-08
PZZGLR21P63F839S,130,2013-01-04
FRMRFL90P56E997C,131,2023-10-30
MRCLFD23H57M264Q,132,2016-07-14
PLMLNA79E19A435P,133,2006-08-21
GNNMRN57C02L444O,134,2009-09-28
TRNSYV29P15I991B,135,2019-06-11
MLPTTN47R61E156C,136,2022-07-07
MRRVLR90R13F983H,137,2013-01-26
VRDRSL30E16I798D,138,2008-01-16
BRCSRS13C51D733F,139,2014-02-12
TZZNTA95P14H723F,140,2025-05-15
SPDGUO30T49A465O,141,2018-03-17
PRZCRN27B50G105Z,142,2023-03-16
RNGMRL89H17E785Q,143,2021-02-09
BNNGNN73M22D905Y,144,2007-11-18
PRTLCU52R30E426X,145,2023-09-28
BRGLBT56B49E939Z,146,2011-01-13
SLTSLO27M29H070M,147,2023-04-21
MNNSSN36T19B102T,148,2020-08-09
CDUFRN99T03L048G,149,2006-08-14
VSPLGN95L13F267L,150,2010-05-14
NDRLND98H24D321E,151,2024-08-25
GLRDRN64P26M326D,152,2007-08-04
TMBGBL29T55I435S,153,2019-03-08
SRRMLI91D68F542M,154,2023-02-13
NTNGST12A43M319V,155,2019-09-28
STRGRL53S09L090F,156,2017-12-22
VNVNNT17A23E274X,157,2011-06-21
PLLPRI76S49A725L,158,2022-03-06
CCCMBT60T57M341N,159,2008-02-23
BRMMRD27R10G523E,160,2007-12-08
FNTLNR22H20M415U,161,2014-01-26
CRDGLI12E41G154E,162,2020-02-26
CVLMCL54E60I844B,163,2008-02-23
CSNRZO15S62H798V,164,2018-03-22
MZZMRD21C12D781E,165,2012-06-29
QSMLDC94M17C984H,166,2015-05-21
CHPGLR56P62H895T,167,2013-03-11
MNTRCT44A70A762G,168,2017-04-07
GRNLPN83C70L084N,169,2021-03-15
SDRTTE53B06H949O,170,2019-01-01
MNZMRN73C09B577P,171,2007-10-14
SDDLCI81M08G687T,172,2012-09-26
BMBCRI20P54C730X,173,2009-07-07
TRVGRN24A53D390G,174,2014-09-25
PTRLVR76L04D736M,175,2020-02-08
MJWRFL33C13D836X,176,2008-08-18
RBBSTL56T05A799P,177,2016-09-05
PLZGLR90T26L922Z,178,2014-12-02
VRRGLI20B14G657H,179,2016-09-19
PLTNNT65C07B686F,180,2010-10-10
RGNFLV52S15D668S,181,2019-05-31
RNZMCL81C14C479Q,182,2016-07-11
FSLDNL21M55L605U,183,2010-02-10
VRGVRN24A01D817E,184,2008-11-07
VRGVNC75D62F140F,185,2009-04-22
CSRFBA18D66I384A,186,2016-08-06
FNZPRG15D51L574F,187,2012-05-23
CRDFDC30L17E310H,188,2010-09-10
CMSGSN30S43L568J,189,2007-01-29
PCCPLG11B64G780F,190,2017-11-15
SCRGLS30T68D764B,191,2024-09-24
TMSNDA72P04I423L,192,2014-06-24
GROTTN61D16H735M,193,2019-12-04
MDNRMO93M61A159I,194,2015-12-27
BRNPLA95A58E205Z,195,2019-12-16
GRTCRL84L26B688Y,196,2010-10-28
NDEVRC27H13F110D,197,2016-03-23
SQRBNN42E57C847Y,198,2021-05-29
TBLCML51L31B732T,199,2024-08-31
MDRVLT97D06A273M,200,2009-07-08
GRGVTI56B49I003U,201,2013-07-04
MDCLSI15S23A162Q,202,2010-10-28
GLLPRR91T56I556L,203,2021-08-09
TMBGSV32T66H918B,204,2024-01-28
NTTTNN86D62F065R,205,2024-08-22
PSTMRD30B18D972R,206,2023-05-03
NRBFMM13A16G247U,207,2009-01-16
BRSMSM39T47D639C,208,2013-11-18
VGLLGO30P28G522N,209,2011-05-05
MDRCSR31S67I561A,210,2016-07-12
NVNCRI01A71A259Q,211,2006-06-08
BLLLMR04C70H017B,212,2011-01-24
RSMMRA66R02C930V,213,2008-07-27
DNDDLS28T05E147N,214,2017-09-10
CTLCRI17A66A566F,215,2023-05-12
GLPRSR09R49D458Y,216,2015-09-09
PRTMLI24D58F263R,217,2006-11-16
NZGDRA09S51G951A,218,2014-05-31
BLTCRT71L18F974I,219,2022-08-25
NCCGSN84P68F210R,220,2024-05-09
GLLRZO93R54L083B,221,2009-08-29
PTRLNI30A09G300I,222,2026-02-13
SNDPRN80T55F120X,223,2025-05-15
TCCLFD89S42I114L,224,2024-12-06
GTTBNC67C10H063R,225,2023-04-06
FGNNNS43S09B181O,226,2020-07-04
MRSFRN31T10M341Q,227,2015-05-17
BNDLNA60R17F682V,228,2022-08-09
TRSRST44R55C948U,229,2025-07-03
BSNPNI64H06L219O,230,2021-01-04
BTTLSS50L47G768E,231,2020-03-05
VCLFBZ93C46G909M,232,2019-02-15
RCCLLT37S10B084S,233,2019-04-09
FLCRSR32P65A085Y,234,2014-06-20
CFFTMT26R64I701I,235,2018-03-03
LFNMLN00H16F149S,236,2017-11-22
CMPDNI81R71G511C,237,2015-08-17
ZNZRFL03H48G435T,238,2012-04-08
PTRGNZ72P51L713O,239,2014-02-22
FLRFRZ07H44G407K,240,2015-04-09
TRCSLO67P27C461D,241,2023-09-02
VLLRND23L62H087R,242,2011-01-30
BTALCN34R61B264R,243,2013-06-23
GRBLNE22E64I138Y,244,2025-08-21
TRVMNL19D51D416D,245,2014-03-04
PCLGSP28M04L949J,246,2008-08-18
BNDRAI28B08L807V,247,2014-07-13
SLAGNR24T45H021N,248,2024-06-06
TRTPCC45T66D284L,249,2015-07-17
NZGPTZ79M59L124Y,250,2007-02-21
